Frame,BindingEnergy(kcal/mol)
0,0.0007
1,0.0001
2,0.0004
3,0.0003
4,0.0006
5,0.0001
6,0.0004
7,0.0002
8,-0.0000
9,0.0004
AVERAGE,0.0003
STD_DEV,0.0002
