Frame,BindingEnergy(kcal/mol)
0,-125.1932
1,-118.3994
2,-122.0733
3,-111.2428
4,-117.3705
5,-110.4813
6,-112.4517
7,-120.7489
8,-122.0530
9,-123.0849
AVERAGE,-118.3099
STD_DEV,5.0074
