Frame,BindingEnergy(kcal/mol)
0,-25.0289
1,-15.6772
2,-21.6702
3,-21.2387
4,-22.7114
5,-23.4386
6,-16.8397
7,-19.1645
8,-21.2033
9,-20.4791
AVERAGE,-20.7452
STD_DEV,2.7255
